date,value
1996-01-01,242.569
1997-01-01,247.499
1998-01-01,254.167
1999-01-01,259.053
2000-01-01,265.629
2001-01-01,271.965
2002-01-01,279.323
2003-01-01,285.989
2004-01-01,294.684
2005-01-01,304.818
2006-01-01,311.271
2007-01-01,313.696
2008-01-01,315.798
2009-01-01,317.465
2010-01-01,323.442
2011-01-01,327.619
2012-01-01,333.965
2013-01-01,342.024
2014-01-01,351.08
2015-01-01,362.821
2016-01-01,375.538
2017-01-01,385.458
2018-01-01,394.043
2019-01-01,402.977
2020-01-01,401.619
2021-01-01,413.716
2022-01-01,429.169
2023-01-01,441.095
1990-01-01,281.937
1991-01-01,285.78
1992-01-01,288.132
1993-01-01,293.977
1994-01-01,301.623
1995-01-01,308.747
1996-01-01,316.352
1997-01-01,323.855
1998-01-01,331.026
1999-01-01,337.533
2000-01-01,347.277
2001-01-01,358.479
2002-01-01,371.195
2003-01-01,385.405
2004-01-01,404.373
2005-01-01,425.225
2006-01-01,443.694
2007-01-01,458.776
2008-01-01,467.467
2009-01-01,469.672
2010-01-01,465.516
2011-01-01,466.529
2012-01-01,469.755
2013-01-01,474.501
2014-01-01,483.59
2015-01-01,495.13
2016-01-01,510.319
2017-01-01,525.533
2018-01-01,539.129
2019-01-01,554.032
2020-01-01,566.156
2021-01-01,585.191
2022-01-01,609.141
2023-01-01,632.996
1990-01-01,856.166
1991-01-01,867.902
1992-01-01,872.202
1993-01-01,877.34
1994-01-01,884.441
1995-01-01,891.519
1996-01-01,896.03
1997-01-01,904.564
1998-01-01,913.032
1999-01-01,917.379
2000-01-01,922.255
2001-01-01,923.169
2002-01-01,923.669
2003-01-01,923.933
2004-01-01,924.847
2005-01-01,924.871
2006-01-01,918.733
2007-01-01,912.984
2008-01-01,910.502
2009-01-01,908.968
2010-01-01,916.428
2011-01-01,918.574
2012-01-01,921.863
2013-01-01,928.755
2014-01-01,936.862
2015-01-01,947.664
2016-01-01,960.527
2017-01-01,968.886
2018-01-01,973.343
2019-01-01,975.367
2020-01-01,959.793
2021-01-01,959.583
2022-01-01,961.792
2023-01-01,961.596
1990-01-01,407.756
1991-01-01,415.136
1992-01-01,423.171
1993-01-01,429.224
1994-01-01,438.48
1995-01-01,447.182
1996-01-01,454.512
1997-01-01,463.519
1998-01-01,471.45
1999-01-01,478.047
2000-01-01,485.316
2001-01-01,491.271
2002-01-01,498.33
2003-01-01,508.248
2004-01-01,520.963
2005-01-01,538.527
2006-01-01,557.284
2007-01-01,573.139
2008-01-01,580.205
2009-01-01,582.398
2010-01-01,603.119
2011-01-01,610.026
2012-01-01,615.581
2013-01-01,622.808
2014-01-01,634.624
2015-01-01,648.823
2016-01-01,666.271
2017-01-01,685.79
2018-01-01,707.095
2019-01-01,724.967
2020-01-01,730.158
2021-01-01,755.598
2022-01-01,788.382
2023-01-01,818.33
1990-01-01,279.748
1991-01-01,286.249
1992-01-01,288.852
1993-01-01,293.277
1994-01-01,299.472
1995-01-01,304.165
1996-01-01,308.435
1997-01-01,313.81
1998-01-01,318.837
1999-01-01,322.839
2000-01-01,327.054
2001-01-01,332.8
2002-01-01,338.851
2003-01-01,345.193
2004-01-01,353.987
2005-01-01,362.997
2006-01-01,365.396
2007-01-01,368.556
2008-01-01,369.58
2009-01-01,368.838
2010-01-01,379.942
2011-01-01,382.298
2012-01-01,386.585
2013-01-01,390.153
2014-01-01,396.636
2015-01-01,405.099
2016-01-01,413.395
2017-01-01,420.073
2018-01-01,426.89
2019-01-01,435.006
2020-01-01,436.237
2021-01-01,448.636
2022-01-01,462.552
2023-01-01,469.013
